time,epoch,split,metric,value
2026-05-20T20:17:51,10,vald,matrot,0.2078867958352493
2026-05-20T20:17:51,10,vald,torque_proxy,0.0009440599774540266
2026-05-20T20:17:51,10,train,jtr,0.05683067758153369
2026-05-20T20:17:51,10,train,loss_kl,0.12341948525225262
2026-05-20T20:17:51,10,train,loss_total,0.3985309571252588
2026-05-20T20:17:51,10,train,matrot,0.2173494813279041
2026-05-20T20:17:51,10,train,torque_proxy,0.0009313129036447578
2026-05-20T20:38:29,11,vald,jtr,0.051205243708741424
2026-05-20T20:38:29,11,vald,loss_kl,0.11774904456836569
2026-05-20T20:38:29,11,vald,loss_total,0.3771615377498202
2026-05-20T20:38:29,11,vald,matrot,0.20725913918034866
2026-05-20T20:38:29,11,vald,torque_proxy,0.0009481100779993575
2026-05-20T20:38:29,11,train,jtr,0.05662304140550439
2026-05-20T20:38:29,11,train,loss_kl,0.1234165367137676
2026-05-20T20:38:29,11,train,loss_total,0.39739975243280773
2026-05-20T20:38:29,11,train,matrot,0.21642811477428775
2026-05-20T20:38:29,11,train,torque_proxy,0.0009320596867901411
2026-05-20T20:59:05,12,vald,jtr,0.05251923573242979
2026-05-20T20:59:05,12,vald,loss_kl,0.1155009203196233
2026-05-20T20:59:05,12,vald,loss_total,0.37781817883996777
2026-05-20T20:59:05,12,vald,matrot,0.2088471844399868
2026-05-20T20:59:05,12,vald,torque_proxy,0.0009508381675016552
2026-05-20T20:59:05,12,train,jtr,0.0563966634915306
2026-05-20T20:59:05,12,train,loss_kl,0.12341210788740288
2026-05-20T20:59:05,12,train,loss_total,0.39643360255603294
2026-05-20T20:59:05,12,train,matrot,0.21569265771403745
2026-05-20T20:59:05,12,train,torque_proxy,0.0009321733176025095
2026-05-20T21:19:43,13,vald,jtr,0.05169093729704343
2026-05-20T21:19:43,13,vald,loss_kl,0.11617909219845882
2026-05-20T21:19:43,13,vald,loss_total,0.3769564966562715
2026-05-20T21:19:43,13,vald,matrot,0.20814309308439657
2026-05-20T21:19:43,13,vald,torque_proxy,0.0009433744131849864
2026-05-20T21:19:43,13,train,jtr,0.056298532328600936
2026-05-20T21:19:43,13,train,loss_kl,0.12343213569907961
2026-05-20T21:19:43,13,train,loss_total,0.39562490771718406
2026-05-20T21:19:43,13,train,matrot,0.21496148987767427
2026-05-20T21:19:43,13,train,torque_proxy,0.0009327497265961204
2026-05-20T21:40:20,14,vald,jtr,0.0512546405442362
2026-05-20T21:40:20,14,vald,loss_kl,0.11622621243485627
2026-05-20T21:40:20,14,vald,loss_total,0.37578113971350374
2026-05-20T21:40:20,14,vald,matrot,0.20735410793362505
2026-05-20T21:40:20,14,vald,torque_proxy,0.0009461788596461554
2026-05-20T21:40:20,14,train,jtr,0.05612584993315251
2026-05-20T21:40:20,14,train,loss_kl,0.12339942012655336
2026-05-20T21:40:20,14,train,loss_total,0.3949258736985023
2026-05-20T21:40:20,14,train,matrot,0.2144674136858148
2026-05-20T21:40:20,14,train,torque_proxy,0.0009331899846733343
2026-05-20T22:00:57,15,vald,jtr,0.05168474141281105
2026-05-20T22:00:57,15,vald,loss_kl,0.11644711380036007
2026-05-20T22:00:57,15,vald,loss_total,0.3760798894240764
2026-05-20T22:00:57,15,vald,matrot,0.20700387146096683
2026-05-20T22:00:57,15,vald,torque_proxy,0.0009441630790645322
2026-05-20T22:00:57,15,train,jtr,0.055971380881978804
2026-05-20T22:00:57,15,train,loss_kl,0.12338731600324863
2026-05-20T22:00:57,15,train,loss_total,0.394218030307159
2026-05-20T22:00:57,15,train,matrot,0.21392586610740352
2026-05-20T22:00:57,15,train,torque_proxy,0.0009334671901572939
2026-05-20T22:21:33,16,vald,jtr,0.05145616982951622
2026-05-20T22:21:33,16,vald,loss_kl,0.11493529293465801
2026-05-20T22:21:33,16,vald,loss_total,0.37579275284120867
